chr,chromStart,chromEnd,name,score,strand,thickStart,thickEnd,itemRgb,blockCount,blockSizes,blockStarts,geneID,ReadsCount.input,ReadsCount.IP,log2FoldChange,pvalue,padj
chr22,43088451,43089826,peak_1,764.2565883,-,43088451,43089826,0,1,1375,0,A4GALT,969,7633,2.45502415,6.65E-232,8.63E-231
chr12,125626750,125626850,peak_2,43.00976107,+,125626750,125626850,0,1,100,0,AACS,80,400,2.082797234,8.61E-14,1.13E-13
chr12,125627450,125627500,peak_3,27.8396524,+,125627450,125627500,0,1,50,0,AACS,83,334,1.706460454,3.83E-09,4.16E-09
chr2,69693201,69693676,peak_4,122.5549912,-,69693201,69693676,0,1,475,0,AAK1,142,934,2.592605622,5.59E-38,1.28E-37
chr2,69692051,69692951,peak_5,353.4174141,-,69692051,69692951,0,1,900,0,AAK1,369,2620,2.745204388,7.85E-108,4.08E-107
chr2,69685351,69685451,peak_6,39.63513656,-,69685351,69685451,0,1,100,0,AAK1,27,233,2.973685438,9.25E-13,1.17E-12
chr16,70316682,70323412,peak_7,139.5897719,-,70316682,70323412,0,2,"5,89","0,6641",AARS,572,2192,1.609502082,3.82E-43,9.53E-43
chr16,70286296,70286796,peak_8,Inf,-,70286296,70286796,0,1,500,0,AARS,3448,39859,3.255230581,0,0
chr6,44267937,44268437,peak_9,294.8864331,-,44267937,44268437,0,1,500,0,AARS2,303,2476,2.657223881,3.83E-90,1.70E-89
chr6,44267287,44267687,peak_10,130.9042798,-,44267287,44267687,0,1,400,0,AARS2,112,883,2.86479378,1.64E-40,3.93E-40
chr4,57215783,57216133,peak_11,99.03171451,-,57215783,57216133,0,1,350,0,AASDH,59,553,3.196203301,7.68E-31,1.54E-30
chr4,57211411,57215758,peak_12,109.2408323,-,57211411,57215758,0,2,"45,330","0,4017",AASDH,35,541,3.905765827,6.12E-34,1.30E-33
chr4,437739,438089,peak_13,109.1671424,-,437739,438089,0,1,350,0,ZNF721,167,832,2.384448823,6.45E-34,1.37E-33
chr4,437114,437314,peak_14,58.15127536,-,437114,437314,0,1,200,0,ZNF721,97,476,2.234012744,2.07E-18,3.12E-18
chr4,436264,436589,peak_15,105.1901969,-,436264,436589,0,1,325,0,ZNF721,166,853,2.315033611,1.04E-32,2.16E-32
