V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100
0.33025596,0.35860133,0.18921217,0.071792305,0.4144361,0.33545312,0.68358076,0.46953344,0.25472516,0.54211634,0.5283811,0.30183083,0.117175296,0.35608613,0.51159203,0.38125318,0.48737884,0.5692549,0.5416857,0.5870174,0.5012057,0.27118397,0.63411224,0.29963157,0.15355696,0.5945734,0.38682088,0.34094408,0.34296605,0.42935652,0.51905406,0.53349084,0.31151116,0.35523072,0.4217591,0.5658452,0.3898905,0.63142633,0.15256916,0.39064234,0.41456568,0.56634593,0.7762895,0.29898977,0.34251112,0.33468953,0.3664114,0.619897,0.26740736,0.47371927,0.60699075,0.4808641,0.55027616,0.6295426,0.3411628,0.5105346,0.361299,0.4381507,0.5513702,0.053749338,0.084089026,0.40042526,0.35332406,0.21473005,0.56871945,0.39577055,0.36418605,0.70378876,0.46101266,0.31650105,0.21423826,0.31222492,0.40221488,0.35064608,0.51124555,0.53010213,0.2618218,0.33423105,0.2925198,0.47386956,0.5051787,0.60713935,0.45506114,0.43163115,0.17108306,0.36301437,0.53458726,0.27286646,0.38266385,0.41121238,0.37141433,0.3835452,0.11885615,0.33473134,0.34745225,0.026576236,0.14528085,0.22715543,0.3731311,0.50594646
0.33162573,0.39979422,0.35066795,0.34344053,0.48053682,0.37767094,0.29525048,0.50036454,0.24309856,0.4804731,0.40624386,0.47045016,0.27987742,0.43849576,0.40900326,0.60070074,0.6425819,0.21958618,0.5979407,0.4862703,0.69678164,0.52416813,0.33072937,0.44614393,0.15971735,0.41846573,0.5828637,0.54353094,0.6110499,0.6380235,0.5152919,0.2314707,0.48053727,0.5213506,0.5121882,0.39692461,0.44082046,0.6524597,0.1209202,0.32231933,0.48733038,0.32358137,0.37698278,0.45342812,0.38006645,0.5751313,0.5131935,0.4141444,0.42129228,0.61136115,0.38130397,0.63270074,0.43789616,0.42641607,0.5373845,0.6133511,0.555738,0.4298792,0.16439104,0.34696585,0.50687873,0.65661466,0.58773273,0.3723052,0.39433682,0.47764254,0.62561905,0.27930844,0.5754153,0.68026537,0.35575134,0.4899636,0.5978552,0.41179103,0.5298194,0.4781636,0.43824285,0.34804827,0.47808018,0.62351334,0.5724727,0.50600296,0.65466833,0.42214257,0.21644934,0.5294923,0.3449157,0.29497376,0.44637907,0.39846283,0.23262234,0.59293973,0.3731795,0.40254197,0.3730742,0.57041395,0.5405727,0.47085446,0.46528745,0.32327053
0.7557225,0.42406505,0.8687566,0.611583,0.7848413,0.6784688,0.7234774,0.7564477,0.87406766,0.837028,0.5379145,0.9198919,0.65435666,1.0637532,0.96166295,0.8563281,0.7806784,0.9263843,0.8784722,0.84253186,0.65705746,0.61950034,0.40745473,0.66957885,0.90510356,0.71934605,1.0652801,0.42333072,0.6765708,0.5787154,0.55246055,0.5663369,0.80921793,0.53266895,0.6862225,0.49925137,0.65809226,0.6504505,0.70760614,0.5185666,1.180126,0.658191,0.5826665,0.43123198,0.77293277,0.6962706,0.91805184,0.5865507,0.71002966,0.86713433,0.96558857,0.7321261,0.44933242,0.85477364,0.93701136,0.8385172,0.6936885,1.1835067,0.7524215,0.57388383,0.61368954,0.83591115,0.74449074,0.72875756,0.6534323,0.4730639,0.74159765,0.47251505,0.8709664,0.81043386,0.720323,0.64396375,1.0509942,0.612773,0.9556736,0.84841543,0.34037942,0.63000643,0.6979893,0.9007246,0.9952405,0.85239935,0.38275594,0.20694911,0.7425477,0.21038663,0.419487,0.65596926,0.623752,0.6667273,0.65815526,0.31662732,0.55274975,0.45198435,0.30245006,1.0363642,0.4862397,0.582569,0.49338096,0.9676416
0.78701437,0.94871926,0.6309272,1.0517685,0.68536186,0.8894002,1.0093926,1.1434087,1.0735469,0,0.2416189,1.032566,0.7188351,0.06687242,0.4190121,0.76029056,0.29844266,0.7941836,0.34640545,0.5712335,0.50689054,0.8040468,0.74827653,0.96892107,0.72627735,0.598154,0.32465893,0.59978896,0.3949079,0.56922007,0.83129764,0.7930814,1.1304607,0.55364907,1.0988451,0.20764099,0.93750584,0.81388277,0.3775375,0.6355785,1.090012,0.75936234,0.8664309,0.5799921,0.6450278,0.7121322,0.5067495,0.66999316,0.74462897,0.6030444,0.89803576,0.5462453,0.3566406,0.9893022,0.9098592,0.5819972,0.7672677,0.6905117,0.70305514,0.733295,0.89264387,0.83048105,0.50113,0.48077822,0.6368094,0.6595121,0.79512036,0.72910655,0.47795627,0.6791067,1.0946661,0.94064564,0.7340816,0.70794344,0.7461768,0.2232063,0.8035805,0.71378005,0.7041922,0.690365,0.3248477,0.78580534,0.6928668,0.6609981,0.8626802,0.8882731,0.6889046,0.9511094,0.77642417,1.2473675,0.99980175,0.70508003,0.46873862,0.64552766,0.394611,0.5609457,0.51443493,0.6718975,0.5788425,0.32357025
0.5713805,0.5632969,0.67045504,0.5509182,0.44975588,0.37854445,0.5329281,0.63844085,0.48475197,0.5758225,0.5453532,0.32359272,0.3743816,0.41314623,0.53231895,0.51072526,0.6129824,0.3907488,0.58511233,0.4867891,0.5016282,0.18008515,0.4856277,0.33210808,0.365756,0.29916444,0.6163811,0.26687622,0.60153365,0.60121936,0.42673314,0.26439884,0.4374988,0.29119143,0.32819182,0.51151025,0.47213563,0.40443882,0.37755752,0.48089552,0.33785218,0.36672968,0.32169932,0.32943743,0.5195298,0.2295955,0.44751316,0.49547604,0.7371656,0.4972645,0.37792593,0.6788402,0.35886788,0.35043544,0.49159902,0.42835855,0.49196237,0.41828862,0.6469834,0.32559124,0.2984624,0.3541275,0.5468323,0.3225033,0.37614918,0.3908261,0.4407221,0.41018355,0.6693554,0.4579047,0.36416048,0.3920955,0.44236594,0.23142087,0.31868395,0.3563472,0.2479535,0.39930904,0.27028614,0.35002226,0.44164008,0.3381703,0.33115023,0.23293495,0.25210866,0.5677324,0.38945448,0.43909967,0.18835704,0.3134423,0.29496676,0.54764646,0.49387482,0.45718735,0.23777233,0.355053,0.40267026,0.33960825,0.51741266,0.5288094
0.51740956,0.5447881,0.39189076,0.52284384,0.544751,0.7966819,0.6819743,0.64513564,0.64413714,0.29361656,0.37174174,0.35840183,0.29839495,0.18227507,0.44565734,0.3958826,0.07537609,0.404058,0.06488046,0.2846833,0.30265558,0.32555854,0.3757658,0.5834751,0.4424436,0.22775328,0.103544995,0.72484475,0.38553166,0.3148179,0.60917753,0.6214033,0.77609867,0.3633569,0.69731915,0.20534195,0.4908312,0.3734544,0.60416216,0.6048922,0.8102957,0.6064874,0.5139409,0.4591865,0.4599387,0.38203666,0.2768137,0.5007578,0.45667252,0.25668645,0.7353473,0.19110382,0.4393751,0.28860486,0.6021917,0.5943215,0.54920685,0.6121392,0.25722253,0.58195835,0.61381304,0.6701491,0.36147815,0.33887815,0.60470486,0.21380506,0.36320433,0.61153793,0.46734497,0.31807852,0.85457546,0.49763066,0.4192153,0.7479336,0.40743542,0.096229,0.5827103,0.4888906,0.42601487,0.40483665,0.23449837,0.573251,0.8352958,0.5826857,0.8157698,0.60081285,0.5981992,0.6134365,0.34926784,0.6522595,0.45738763,0.50626624,0.43474114,0.2703171,0.5433319,0.5672712,0.61746895,0.35354358,0.382577,0.4368986
0.3205493,0.36093333,0.44507045,0.4143383,0.5061609,0.54687476,0.32732254,0.21786065,0.26878244,0.2909751,0.3801157,0.20179185,0.18705347,0.46116883,0.27564284,0.38861722,0.53320885,0.44900417,0.45694315,0.36705092,0.3376971,0.3835606,0.31318134,0.39590293,0.36373752,0.59917223,0.312094,0.44437075,0.40576607,0.5801052,0.32594252,0.55834454,0.20683202,0.26846156,0.4600933,0.41402188,0.33642635,0.36918703,0.4865756,0.31743914,0.23020166,0.2867578,0.3390082,0.2166922,0.42137468,0.33552158,0.4225993,0.34292704,0.39148653,0.30659094,0.36513126,0.45992392,0.22186102,0.45067713,0.23627992,0.47074106,0.5097662,0.2608484,0.49526674,0.17473039,0.18857284,0.34363115,0.4337692,0.21401727,0.45365363,0.5388314,0.32188287,0.27591893,0.33421242,0.42277503,0.2654925,0.19790702,0.36479115,0.26423013,0.45044386,0.53572416,0.39090455,0.23478433,0.41353106,0.31641546,0.44682685,0.28616497,0.4708792,0.51785016,0.5395732,0.4696293,0.49643207,0.47291547,0.5582465,0.28557783,0.24039729,0.3851772,0.476969,0.35670346,0.18219599,0.42604786,0.39676756,0.17581964,0.34212846,0.3963778
0.43416184,0.24147859,0.30409756,0.39736894,0.367842,0.28372598,0.29988506,0.29880267,0.40996063,0.33948815,0.43286353,0.18481402,0.15499756,0.55033004,0.2598936,0.13111645,0.5009867,0.5774777,0.41203016,0.40555716,0.26187772,0.22887562,0.28775677,0.41613698,0.29373476,0.5424385,0.46972144,0.32094318,0.45344853,0.36856717,0.38473472,0.5084915,0.53365314,0.49915394,0.42375392,0.3773024,0.34517115,0.31898782,0.43285137,0.42091942,0.24012612,0.3059221,0.4327004,0.41388875,0.28042758,0.33537057,0.30506644,0.24464035,0.25557238,0.3143088,0.40739924,0.35773134,0.35894454,0.3915487,0.40481716,0.24978173,0.31663972,0.45149246,0.41544136,0.09279582,0.16037011,0.41784674,0.42018658,0.31755173,0.23150639,0.41551626,0.46602258,0.102046,0.39687222,0.31508708,0.2559198,0.2940417,0.54521704,0.14459094,0.6830322,0.38424355,0.437428,0.47426778,0.46647668,0.47883546,0.33818936,0.47324908,0.29161,0.3497432,0.44027948,0.4642176,0.23525745,0.39367217,0.60325354,0.41671956,0.4095633,0.3968817,0.5086027,0.4615189,0.25662023,0.32559672,0.3073143,0.17827146,0.21501325,0.32135883
0.21251816,0.36303347,0.3661462,0.45185912,0.53087056,0.3822885,0.4223497,0.33343583,0.263668,0.45475948,0.5348078,0.14000787,0.34450045,0.3350032,0.501341,0.47349387,0.58063763,0.41625097,0.5052006,0.3900805,0.4432193,0.29662883,0.17266068,0.47591177,0.59064925,0.5029302,0.32879,0.3509708,0.4599681,0.374999,0.42959866,0.2073065,0.28383312,0.36507142,0.46351776,0.50356114,0.44021523,0.14131305,0.27092367,0.2810988,0.45181173,0.38251215,0.5439868,0.25733435,0.14649703,0.24930203,0.35661167,0.39197308,0.2072171,0.5676379,0.40429825,0.53978044,0.2601593,0.36758497,0.36724895,0.43885347,0.25712842,0.28799236,0.5356236,0.3736267,0.22057188,0.36907655,0.4811794,0.53547984,0.41603005,0.26593342,0.48570895,0.2813738,0.45649153,0.28574598,0.22045258,0.27112123,0.3471909,0.19116694,0.43994558,0.35920697,0.21894492,0.3925503,0.5285336,0.3343916,0.3237322,0.29429045,0.28891197,0.4590307,0.14855814,0.4047141,0.58104193,0.39332086,0.3570971,0.2651113,0.30503482,0.42608136,0.4995183,0.39531338,0.2971005,0.26339433,0.34419793,0.27670628,0.55108523,0.43184954
0.781783,0.6445391,0.64217,0.4166484,0.80962455,0.28705052,0.36121368,0.1550916,0.49051106,0.68882394,0.46675625,0.8005479,0.50282854,0.6249113,0.35866034,0.34490263,0.4180267,0.4914011,0.36132556,0.60793114,0.83061886,0.5550573,0.7649854,0.4737656,0.58698833,0.72147644,0.8809463,0.6004909,0.58795786,0.5103517,0.2170954,0.5453021,0.41450697,0.8942795,0.61057484,0.844451,0.51512206,0.45155168,0.4942844,0.6649264,0.633994,0.6576687,0.5132143,0.5436095,0.6774295,0.3802711,0.23439302,0.7736743,0.519798,0.40515727,0.35052034,0.6210741,0.47044563,0.44445658,0.5472983,0.6629471,0.6816939,0.68676627,0.74765116,0.62641114,0.5269483,0.26360193,0.30644172,0.6690961,0.46491152,0.82695407,0.62853026,0.4593746,0.66591364,0.5888608,0.57736534,0.3586206,0.26719087,0.6790998,0.3135395,0.8031683,0.43772435,0.60826176,0.292588,0.51370746,0.8170408,0.45735866,0.39119554,0.40623474,0.2844734,0.5065625,0.34715724,0.43058854,0.83393514,0.5499241,0.34679234,0.3801741,0.47422934,0.62633044,0.8238283,0.6640092,0.5336016,0.5704932,0.6701162,0.6817229
