"seqname","start","end","strand","num_mutation","region","gene_symbol"
"CHR8",144991180,144991217,"-",2,"CDS","PLEC"
"CHR8",144992009,144992066,"-",1,"CDS","PLEC"
"CHR8",144995867,144995950,"-",2,"CDS","PLEC"
"CHR8",144991089,144991137,"-",2,"CDS","PLEC"
"CHR8",144995298,144995330,"-",1,"CDS","PLEC"
"CHR8",144994629,144994642,"-",2,"CDS","PLEC"
"CHR8",144993160,144993172,"-",1,"CDS","PLEC"
"CHR8",144989511,144989534,"-",1,"3UTR","PLEC"
"CHR8",144992684,144992698,"-",2,"CDS","PLEC"
"CHR8",145003884,145003925,"-",2,"CDS","PLEC"
"CHR8",145004125,145004147,"-",3,"CDS","PLEC"
"CHR8",144993365,144993394,"-",7,"CDS","PLEC"
"CHR8",144990829,144990867,"-",1,"CDS","PLEC"
"CHR8",144992513,144992535,"-",1,"CDS","PLEC"
"CHR8",144999767,144999798,"-",1,"CDS","PLEC"
"CHR8",144992653,144992678,"-",2,"CDS","PLEC"
"CHR8",144994936,144994953,"-",1,"CDS","PLEC"
"CHR8",144995196,144995217,"-",1,"CDS","PLEC"
"CHR8",144994349,144994378,"-",4,"CDS","PLEC"
"CHR8",144996095,144996126,"-",1,"CDS","PLEC"
"CHR8",144997158,144997210,"-",1,"CDS","PLEC"
"CHR8",144992847,144992874,"-",89,"CDS","PLEC"
"CHR8",144993949,144993968,"-",1,"CDS","PLEC"
"CHR8",144995718,144995761,"-",2,"CDS","PLEC"
"CHR8",144994706,144994730,"-",1,"CDS","PLEC"
"CHR8",144992581,144992604,"-",1,"CDS","PLEC"
"CHR8",144995799,144995824,"-",1,"CDS","PLEC"
"CHR8",144994480,144994522,"-",2,"CDS","PLEC"
"CHR8",144990520,144990538,"-",10,"CDS","PLEC"
"CHR8",145003308,145003327,"-",1,"CDS","PLEC"
"CHR8",145005717,145005737,"-",1,"CDS","PLEC"
"CHR8",144994196,144994216,"-",1,"CDS","PLEC"
"CHR8",144994673,144994691,"-",1,"CDS","PLEC"
"CHR8",144993449,144993480,"-",1,"CDS","PLEC"
"CHR8",145007064,145007079,"-",1,"CDS","PLEC"
"CHR8",144991927,144991949,"-",3,"CDS","PLEC"
"CHR8",145024987,145025009,"-",1,"5UTR","PLEC"
"CHR8",144991684,144991710,"-",1,"CDS","PLEC"
"CHR8",144994744,144994784,"-",1,"CDS","PLEC"
"CHR8",144992295,144992358,"-",1,"CDS","PLEC"
"CHR8",144992552,144992578,"-",1,"CDS","PLEC"
"CHR8",144991138,144991165,"-",5,"CDS","PLEC"
"CHR8",144989799,144989860,"-",2,"3UTR","PLEC"
"CHR8",144996186,144996200,"-",1,"CDS","PLEC"
"CHR8",144993644,144993707,"-",1,"CDS","PLEC"
"CHR16",87865510,87865557,"-",5,"3UTR","SLC7A5"
"CHR16",87902513,87902551,"-",5,"CDS","SLC7A5"
"CHR16",87864642,87864657,"-",29,"3UTR","SLC7A5"
"CHR16",87865567,87865606,"-",7,"3UTR","SLC7A5"
"CHR16",87864664,87864678,"-",5,"3UTR","SLC7A5"
"CHR16",87902806,87902851,"-",7,"CDS","SLC7A5"
"CHR16",87902713,87902734,"-",1,"CDS","SLC7A5"
"CHR16",87865861,87865883,"-",2,"3UTR","SLC7A5"
"CHR16",87864919,87864940,"-",3,"3UTR","SLC7A5"
"CHR16",87889710,87889721,"-",1,"Intron","SLC7A5"
"CHR16",87864323,87864335,"-",5,"3UTR","SLC7A5"
"CHR16",87866011,87866030,"-",1,"3UTR","SLC7A5"
"CHR16",87866413,87866429,"-",1,"3UTR","SLC7A5"
"CHR16",87866372,87866409,"-",3,"3UTR","SLC7A5"
"CHR16",87902631,87902651,"-",1,"CDS","SLC7A5"
"CHR16",87863725,87863776,"-",5,"3UTR","SLC7A5"
"CHR16",87864815,87864831,"-",11,"3UTR","SLC7A5"
"CHR16",87866482,87866503,"-",1,"3UTR","SLC7A5"
"CHR16",87866513,87866531,"-",2,"3UTR","SLC7A5"
"CHR16",87872320,87872335,"-",1,"CDS","SLC7A5"
"CHR16",87865660,87865684,"-",1,"3UTR","SLC7A5"
"CHR16",87885352,87885375,"-",2,"CDS","SLC7A5"
"CHR16",87889875,87889901,"-",1,"Intron","SLC7A5"
"CHR16",87873311,87873346,"-",1,"CDS","SLC7A5"
"CHR16",87865424,87865472,"-",5,"3UTR","SLC7A5"
"CHR16",87865690,87865747,"-",1,"3UTR","SLC7A5"
"CHR16",87868140,87868196,"-",3,"CDS","SLC7A5"
"CHR16",87863825,87863845,"-",1,"3UTR","SLC7A5"
"CHR16",87872336,87872357,"-",2,"CDS","SLC7A5"
"CHR16",87864366,87864382,"-",2,"3UTR","SLC7A5"
"CHR16",87866100,87866163,"-",49,"3UTR","SLC7A5"
"CHR16",87866031,87866068,"-",7,"3UTR","SLC7A5"
"CHR16",87864247,87864270,"-",2,"3UTR","SLC7A5"
"CHR16",87865640,87865657,"-",1,"3UTR","SLC7A5"
"CHR16",87864964,87864979,"-",3,"3UTR","SLC7A5"
"CHR16",87863910,87863930,"-",1,"3UTR","SLC7A5"
"CHR16",87865937,87866010,"-",10,"3UTR","SLC7A5"
"CHR15",99506755,99506779,"+",4,"3UTR","IGF1R"
"CHR15",99504805,99504816,"+",1,"3UTR","IGF1R"
"CHR15",99251011,99251031,"+",1,"CDS","IGF1R"
"CHR15",99500791,99500816,"+",11,"3UTR","IGF1R"
"CHR15",99251076,99251099,"+",3,"CDS","IGF1R"
"CHR15",99506104,99506121,"+",1,"3UTR","IGF1R"
"CHR15",99505943,99505956,"+",1,"3UTR","IGF1R"
"CHR15",99504916,99504941,"+",1,"3UTR","IGF1R"
"CHR15",99501033,99501050,"+",1,"3UTR","IGF1R"
"CHR15",99456397,99456421,"+",1,"CDS","IGF1R"
"CHR15",99250809,99250858,"+",3,"CDS","IGF1R"
"CHR15",99501111,99501129,"+",2,"3UTR","IGF1R"
"CHR15",99251109,99251123,"+",1,"CDS","IGF1R"
